,name,dtype,status,selected,n_bins,iv,js,gini,quality_score
0,SeniorCitizen,numerical,OPTIMAL,True,2,0.09862165906704852,0.01214851458801752,0.12189330465326553,0.14512338144512252
1,Partner,categorical,OPTIMAL,True,2,0.11119378844453577,0.013831418670105566,0.1649361930442217,0.2965926522270429
2,Dependents,categorical,OPTIMAL,True,2,0.1624221781875912,0.019986533909890275,0.17347589330950153,0.3470064094404771
3,tenure,numerical,OPTIMAL,True,10,0.835147827289587,0.09378242685453105,0.4729759583568002,0.17172881427537195
4,InternetService,categorical,OPTIMAL,True,3,0.6346685605701929,0.075089309856961,0.395044284685765,0.5856464768443665
5,OnlineSecurity,categorical,OPTIMAL,True,3,0.7347349718439271,0.0872081325431697,0.41507755981321326,0.4261246979140277
6,OnlineBackup,categorical,OPTIMAL,True,3,0.537444056053256,0.06323839600378517,0.3579369420982077,0.7150126273313906
7,DeviceProtection,categorical,OPTIMAL,True,3,0.4988479652202673,0.05852131361875163,0.3389722203592389,0.7529648982663778
8,TechSupport,categorical,OPTIMAL,True,3,0.7097006398528609,0.08421317090757116,0.40956057923609424,0.46336835300263784
9,StreamingTV,categorical,OPTIMAL,True,3,0.38401967832432166,0.04441007981405049,0.23347471356967453,0.7528595942704528
10,StreamingMovies,categorical,OPTIMAL,True,3,0.3866909793553497,0.044738461334746384,0.24123562394096132,0.7978176253746089
11,Contract,categorical,OPTIMAL,True,3,1.2411706558486149,0.13499120841949064,0.47902559954620416,0.028134517970837252
12,PaperlessBilling,categorical,OPTIMAL,True,2,0.2170215317445412,0.02678778398328787,0.2204398813472629,0.5013495104954554
13,PaymentMethod,categorical,OPTIMAL,True,4,0.48191608054939294,0.058801517899415595,0.3528065283246644,0.4911981538407678
14,MonthlyCharges,numerical,OPTIMAL,True,9,0.4566422178517373,0.05440264127460729,0.34580420682293644,0.16264676653339583
15,TotalCharges,numerical,OPTIMAL,True,8,0.3243595870390844,0.039062938967107774,0.3050302974964466,0.4520408225081482
